NAME                                                                                 VERSION                                   TYPE      
github.com/liamg/memoryfs                                                            v1.6.0                                    go-module  
github.com/lib/pq                                                                    v1.10.9                                   go-module  
github.com/liggitt/tabwriter                                                         v0.0.0-20181228230101-89fcab3d43de        go-module  
github.com/lunixbochs/struc                                                          v0.0.0-20200707160740-784aaebc1d40        go-module  
github.com/mailru/easyjson                                                           v0.7.7                                    go-module  
github.com/masahiro331/go-disk                                                       v0.0.0-20240625071113-56c933208fee        go-module  
github.com/masahiro331/go-ebs-file                                                   v0.0.0-20240917043618-e6d2bea5c32e        go-module  
github.com/masahiro331/go-ext4-filesystem                                            v0.0.0-20240620024024-ca14e6327bbd        go-module  
github.com/masahiro331/go-mvn-version                                                v0.0.0-20250131095131-f4974fa13b8a        go-module  
github.com/masahiro331/go-vmdk-parser                                                v0.0.0-20221225061455-612096e4bbbd        go-module  
github.com/masahiro331/go-xfs-filesystem                                             v0.0.0-20231205045356-1b22259a6c44        go-module  
github.com/mattn/go-colorable                                                        v0.1.14                                   go-module  
github.com/mattn/go-isatty                                                           v0.0.20                                   go-module  
github.com/mattn/go-runewidth                                                        v0.0.16                                   go-module  
github.com/mattn/go-shellwords                                                       v1.0.12                                   go-module  
github.com/mitchellh/copystructure                                                   v1.2.0                                    go-module  
github.com/mitchellh/go-homedir                                                      v1.1.0                                    go-module  
github.com/mitchellh/go-testing-interface                                            v1.14.1                                   go-module  
github.com/mitchellh/go-wordwrap                                                     v1.0.1                                    go-module  
github.com/mitchellh/hashstructure/v2                                                v2.0.2                                    go-module  
github.com/mitchellh/mapstructure                                                    v1.5.0                                    go-module  
github.com/mitchellh/reflectwalk                                                     v1.0.2                                    go-module  
github.com/moby/buildkit                                                             v0.18.2                                   go-module  
github.com/moby/docker-image-spec                                                    v1.3.1                                    go-module  
github.com/moby/locker                                                               v1.0.1                                    go-module  
github.com/moby/spdystream                                                           v0.5.0                                    go-module  
github.com/moby/sys/mountinfo                                                        v0.7.2                                    go-module  
github.com/moby/sys/signal                                                           v0.7.1                                    go-module  
github.com/moby/sys/user                                                             v0.3.0                                    go-module  
github.com/moby/sys/userns                                                           v0.1.0                                    go-module  
github.com/moby/term                                                                 v0.5.0                                    go-module  
github.com/modern-go/concurrent                                                      v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                                        v1.0.2                                    go-module  
github.com/monochromegane/go-gitignore                                               v0.0.0-20200626010858-205db1a8cc00        go-module  
github.com/munnerz/goautoneg                                                         v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/mxk/go-flowrate                                                           v0.0.0-20140419014527-cca7078d478f        go-module  
github.com/nozzle/throttler                                                          v0.0.0-20180817012639-2ea982251481        go-module  
github.com/oklog/ulid                                                                v1.3.1                                    go-module  
github.com/oklog/ulid/v2                                                             v2.1.0                                    go-module  
github.com/open-policy-agent/opa                                                     v1.2.0                                    go-module  
github.com/opencontainers/go-digest                                                  v1.0.0                                    go-module  
github.com/opencontainers/image-spec                                                 v1.1.1                                    go-module  
github.com/opencontainers/runtime-spec                                               v1.2.0                                    go-module  
github.com/opencontainers/selinux                                                    v1.11.1                                   go-module  
github.com/opentracing/opentracing-go                                                v1.2.0                                    go-module  
github.com/openvex/discovery                                                         v0.1.1-0.20240802171711-7c54efc57553      go-module  
github.com/openvex/go-vex                                                            v0.2.5                                    go-module  
github.com/owenrumney/go-sarif/v2                                                    v2.3.3                                    go-module  
github.com/owenrumney/squealer                                                       v1.2.11                                   go-module  
github.com/package-url/packageurl-go                                                 v0.1.3                                    go-module  
github.com/pelletier/go-toml/v2                                                      v2.2.3                                    go-module  
github.com/peterbourgon/diskv                                                        v2.0.1+incompatible                       go-module  
github.com/pjbgf/sha1cd                                                              v0.3.2                                    go-module  
github.com/pkg/browser                                                               v0.0.0-20240102092130-5ac0b6a4141c        go-module  
github.com/pkg/errors                                                                v0.9.1                                    go-module  
github.com/planetscale/vtprotobuf                                                    v0.6.1-0.20240319094008-0393e58bdf10      go-module  
github.com/pmezard/go-difflib                                                        v1.0.1-0.20181226105442-5d4384ee4fb2      go-module  
github.com/prometheus/client_golang                                                  v1.21.0                                   go-module  
github.com/prometheus/client_model                                                   v0.6.1                                    go-module  
github.com/prometheus/common                                                         v0.62.0                                   go-module  
github.com/prometheus/procfs                                                         v0.15.1                                   go-module  
github.com/rcrowley/go-metrics                                                       v0.0.0-20201227073835-cf1acfcdf475        go-module  
github.com/remyoudompheng/bigfft                                                     v0.0.0-20230129092748-24d4a6f8daec        go-module  
github.com/rivo/uniseg                                                               v0.4.7                                    go-module  
github.com/rubenv/sql-migrate                                                        v1.7.1                                    go-module  
github.com/russross/blackfriday/v2                                                   v2.1.0                                    go-module  
github.com/rust-secure-code/go-rustaudit                                             v0.0.0-20250226111315-e20ec32e963c        go-module  
github.com/sagikazarmark/locafero                                                    v0.7.0                                    go-module  
github.com/samber/lo                                                                 v1.49.1                                   go-module  
github.com/samber/oops                                                               v1.15.0                                   go-module  
github.com/santhosh-tekuri/jsonschema/v5                                             v5.3.1                                    go-module  
github.com/sassoftware/go-rpmutils                                                   v0.4.0                                    go-module  
github.com/sassoftware/relic                                                         v7.2.1+incompatible                       go-module  
github.com/secure-systems-lab/go-securesystemslib                                    v0.9.0                                    go-module  
github.com/sergi/go-diff                                                             v1.3.2-0.20230802210424-5b0b94c5c0d3      go-module  
github.com/shibumi/go-pathspec                                                       v1.3.0                                    go-module  
github.com/shopspring/decimal                                                        v1.4.0                                    go-module  
github.com/sigstore/cosign/v2                                                        v2.2.4                                    go-module  
github.com/sigstore/rekor                                                            v1.3.9                                    go-module  
github.com/sigstore/sigstore                                                         v1.8.12                                   go-module  
github.com/sigstore/timestamp-authority                                              v1.2.2                                    go-module  
github.com/sirupsen/logrus                                                           v1.9.3                                    go-module  
github.com/skeema/knownhosts                                                         v1.3.1                                    go-module  
github.com/sourcegraph/conc                                                          v0.3.0                                    go-module  
github.com/spdx/tools-golang                                                         v0.5.5                                    go-module  
github.com/spf13/afero                                                               v1.12.0                                   go-module  
github.com/spf13/cast                                                                v1.7.1                                    go-module  
github.com/spf13/cobra                                                               v1.9.1                                    go-module  
github.com/spf13/pflag                                                               v1.0.6                                    go-module  
github.com/spf13/viper                                                               v1.20.0                                   go-module  
github.com/stretchr/objx                                                             v0.5.2                                    go-module  
github.com/stretchr/testify                                                          v1.10.0                                   go-module  
github.com/subosito/gotenv                                                           v1.6.0                                    go-module  
github.com/syndtr/goleveldb                                                          v1.0.1-0.20220721030215-126854af5e6d      go-module  
github.com/tchap/go-patricia/v2                                                      v2.3.2                                    go-module  
github.com/tetratelabs/wazero                                                        v1.9.0                                    go-module  
github.com/theupdateframework/go-tuf                                                 v0.7.0                                    go-module  
github.com/titanous/rocacheck                                                        v0.0.0-20171023193734-afe73141d399        go-module  
github.com/tonistiigi/go-csvvalue                                                    v0.0.0-20240710180619-ddb21b71c0b4        go-module  
github.com/transparency-dev/merkle                                                   v0.0.2                                    go-module  
github.com/twitchtv/twirp                                                            v8.1.3+incompatible                       go-module  
